eV,Pi_Al_GibbSorb_std.xmu.nor,Pi_Apatite_CaDefHydroxy_std.xmu.nor,Pi_Fe_GoethSorb_std.xmu.nor,Pi_K_Pyro_std.xmu.nor,Pi_Mg_Tri_std.xmu.nor,Pi_Na_Tri_std.xmu.nor,Pi_NH4_Mg_std.xmu.nor,Po_Na_AMP_std.xmu.nor
2106,0.15008297,NA,NA,NA,NA,NA,NA,NA
2108,0.13333872,NA,NA,NA,NA,NA,NA,NA
2110,0.13386438,NA,NA,NA,NA,NA,NA,NA
2112,0.12142443,NA,NA,NA,NA,NA,NA,NA
2114,0.10849733,NA,NA,NA,NA,NA,NA,NA
2116,0.095492072,NA,NA,NA,NA,NA,NA,NA
2118,0.088588816,NA,NA,NA,NA,NA,NA,NA
2120,0.076279736,NA,NA,NA,NA,NA,NA,NA
2122,0.067077095,NA,NA,NA,NA,NA,NA,NA
2124,0.038674148,NA,NA,NA,NA,NA,NA,NA
2126,0.026326896,NA,NA,NA,NA,NA,NA,NA
2128,0.020736015,NA,NA,NA,NA,NA,NA,NA
2130,0.014470769,NA,NA,NA,NA,NA,NA,NA
2132,0.005937041,NA,NA,NA,NA,NA,NA,NA
2134,0.004603201,NA,NA,NA,NA,NA,NA,NA
2136,0.00330935,NA,NA,NA,NA,NA,NA,NA
2138,0.009617098,NA,NA,NA,NA,NA,NA,NA
2140,0.004349766,NA,NA,NA,NA,NA,NA,NA
2140.2,0.001673428,NA,NA,NA,NA,NA,NA,NA
2140.4,-0.003800343,NA,NA,NA,NA,NA,NA,NA
2140.6,0.003344322,NA,NA,NA,NA,NA,NA,NA
2140.8,-0.002603867,NA,NA,NA,NA,NA,NA,NA
2141,-0.007812254,NA,NA,NA,NA,NA,NA,NA
2141.2,-0.007776593,NA,NA,NA,NA,NA,NA,NA
2141.4,-0.000364727,NA,NA,NA,NA,NA,NA,NA
2141.6,-0.003177392,NA,NA,NA,NA,NA,NA,NA
2141.8,0.000133755,NA,NA,NA,NA,NA,NA,NA
2142,-0.002422616,NA,NA,NA,NA,NA,NA,NA
2142.2,-0.00374659,NA,NA,NA,NA,NA,NA,NA
2142.4,-0.007835278,NA,NA,NA,NA,NA,NA,NA
2142.6,-0.002264736,NA,NA,NA,NA,NA,NA,NA
2142.8,-0.00036412,NA,NA,NA,NA,NA,NA,NA
2143,-0.002856871,NA,NA,NA,NA,NA,NA,NA
2143.2,0.001543075,NA,NA,NA,NA,NA,NA,NA
2143.4,0.002674806,NA,NA,NA,NA,NA,NA,NA
2143.6,0.003888334,NA,NA,NA,NA,NA,NA,NA
2143.8,0.00025407,NA,NA,NA,NA,NA,NA,NA
2144,-0.007875352,NA,NA,NA,NA,NA,NA,NA
2144.2,-0.002430232,NA,NA,NA,NA,NA,NA,NA
2144.4,0.006219485,NA,NA,NA,NA,NA,NA,NA
2144.6,0.004730101,NA,NA,NA,NA,NA,NA,NA
2144.8,0.003880545,NA,NA,NA,NA,NA,NA,NA
2145,0.009712834,NA,NA,NA,NA,NA,NA,NA
2145.2,0.011173569,NA,NA,NA,NA,NA,NA,NA
2145.4,0.011680013,NA,NA,NA,NA,NA,NA,NA
2145.6,0.017370522,NA,NA,NA,NA,NA,NA,NA
2145.8,0.01851316,NA,NA,NA,NA,NA,NA,NA
2146,0.015418752,NA,NA,NA,NA,NA,NA,NA
