"Pi_Al_GibbSorb_std";"Pi_Al_Precip_std";"Pi_Al_std";"Pi_Apatite_CaDefHydroxy_std";"Pi_Apatite_Carbonate_std";"Pi_Apatite_Fluor_std";"Pi_Apatite_Hydroxy_std";"Pi_Ca_Dibasic_std";"Pi_Ca_Mono_std";"Pi_Ca_Octa_std";"Pi_Ca_Precip_std";"Pi_Ca_Pyro_std";"Pi_Ca_Tri_std";"Pi_Fe_FerriSorb_std";"Pi_Fe_GoethSorb_std";"Pi_Fe_Precip_std";"Pi_Fe_Pyro_std";"Pi_Fe_std";"Pi_K_Di_std";"Pi_K_Pyro_std";"Pi_Mg_Di_std";"Pi_Mg_Pyro_std";"Pi_Mg_Tri_std";"Pi_Na_Di_std";"Pi_Na_Mono_std";"Pi_Na_Pyro_std";"Pi_Na_Tri_std";"Pi_NH4_Di_std";"Pi_NH4_Mg_std";"Pi_NH4_Mono_std";"Po_Al_DNA_GibbSorb_2_std";"Po_Al_DNA_GibbSorb_std";"Po_Al_PA_GibbSorb_std";"Po_Al_PA_Precip_std";"Po_Ca_Lecithin_std";"Po_Ca_PA_std";"Po_Fe_DNA_FerriSorb_std";"Po_Fe_DNA_GoethSorb_std";"Po_Fe_PA_FerriSorb_2_std";"Po_Fe_PA_FerriSorb_std";"Po_Fe_PA_GoethSorb_std";"Po_Fe_PA_Precip_std";"Po_Na_AMP_std";"Po_Na_ATP_std";"Po_Na_DNA_std";"Po_Na_PA_std";"R.fac"
0,106869110439692;0;0;0,422915709387149;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,470215180173159;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000568504477549497
0;0;0;0,43364057884289;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,432801080489659;0;0;0;0;0;0,133558340667452;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000730390125877322
0,0634364045315728;0;0;0,539667040889801;0;0;0;0;0;0;0;0;0;0;0,396896554578626;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000755765762568902
0;0,0819235672305525;0;0,435763053192257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,482313379577191;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000761521561916285
0;0;0;0,424611595684741;0;0;0;0;0;0;0;0;0;0;0;0,0932048819846876;0;0;0;0;0;0;0;0;0;0;0,482183522330572;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000765437614754291
0;0;0;0,449790103900504;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,195344307033675;0;0;0;0,35486558906582;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000825720520311718
0;0;0;0,537989819759669;0;0;0;0;0;0;0;0;0;0;0,3328937536542;0;0;0;0;0;0;0;0,129116426586131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000826330780385325
0;0;0;0,541382034167567;0;0;0;0;0;0;0;0;0;0;0,384927611687607;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,073690354144826;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000843875975191682
0;0;0;0,424500205496104;0;0;0;0;0,204330699035672;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,371169095468224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000878571828881262
0;0;0;0,477366501303332;0;0;0;0;0;0;0;0;0;0;0,322027550103967;0;0;0;0,2006059485927;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000888341886604153
0;0;0;0,528375811882947;0;0;0;0;0,111799033894268;0;0;0;0;0;0,359825154222785;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000894244061524989
0;0;0;0,449626505016233;0;0;0;0;0;0;0;0;0;0,114607729674428;0;0;0;0;0;0;0;0;0;0;0;0;0,435765765309339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000899527485604807
0,161521353986785;0;0;0,514086366503781;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,324392279509434;0;0;0;0;0;0,000916978905548508
0;0;0;0,527475714670404;0;0;0;0;0;0;0;0;0;0;0,412806488163907;0;0;0;0;0,0597177971656895;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000948386643321159
0;0;0;0,470217616724607;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,339745694894414;0;0;0;0;0;0;0;0;0;0;0;0,19003668838098;0;0;0;0;0;0;0;0;0;0;0;0,000960590250755809
0;0;0;0,524237701604487;0;0;0;0;0;0;0;0;0;0;0,365864465011047;0;0;0;0;0;0;0;0;0;0;0;0,109897833384466;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000963786596827532
0;0;0;0,448937451014403;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,354919262141167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,19614328684443;0;0;0;0,000968401060416303
0;0;0;0,549977246642637;0;0;0;0;0;0;0;0;0;0;0,450022753357363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000985320227446858
0;0;0;0,549977246642637;0;0;0;0;0;0;0;0;0;0;0,450022753357363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000985320227446858
0;0;0;0,549977246642637;0;0;0;0;0;0;0;0;0;0;0,450022753357363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000985320227446858
0;0;0;0,549977246642637;0;0;0;0;0;0;0;0;0;0;0,450022753357363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000985320227446858
0;0;0;0,549977246642637;0;0;0;0;0;0;0;0;0;0;0,450022753357363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000985320227446858
0;0;0;0,549977246642637;0;0;0;0;0;0;0;0;0;0;0,450022753357363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000985320227446858
0;0;0;0,549977246642637;0;0;0;0;0;0;0;0;0;0;0,450022753357363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000985320227446858
0;0;0;0,549977246642637;0;0;0;0;0;0;0;0;0;0;0,450022753357363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000985320227446858
0;0;0;0,549977246642637;0;0;0;0;0;0;0;0;0;0;0,450022753357363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000985320227446858
0;0;0;0,549977246642637;0;0;0;0;0;0;0;0;0;0;0,450022753357363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000985320227446858
