"Pi_Al_GibbSorb_std";"Pi_Al_Precip_std";"Pi_Al_std";"Pi_Apatite_CaDefHydroxy_std";"Pi_Apatite_Carbonate_std";"Pi_Apatite_Fluor_std";"Pi_Apatite_Hydroxy_std";"Pi_Ca_Dibasic_std";"Pi_Ca_Mono_std";"Pi_Ca_Octa_std";"Pi_Ca_Precip_std";"Pi_Ca_Pyro_std";"Pi_Ca_Tri_std";"Pi_Fe_FerriSorb_std";"Pi_Fe_GoethSorb_std";"Pi_Fe_Precip_std";"Pi_Fe_Pyro_std";"Pi_Fe_std";"Pi_K_Di_std";"Pi_K_Pyro_std";"Pi_Mg_Di_std";"Pi_Mg_Pyro_std";"Pi_Mg_Tri_std";"Pi_Na_Di_std";"Pi_Na_Mono_std";"Pi_Na_Pyro_std";"Pi_Na_Tri_std";"Pi_NH4_Di_std";"Pi_NH4_Mg_std";"Pi_NH4_Mono_std";"Po_Al_DNA_GibbSorb_2_std";"Po_Al_DNA_GibbSorb_std";"Po_Al_PA_GibbSorb_std";"Po_Al_PA_Precip_std";"Po_Ca_Lecithin_std";"Po_Ca_PA_std";"Po_Fe_DNA_FerriSorb_std";"Po_Fe_DNA_GoethSorb_std";"Po_Fe_PA_FerriSorb_2_std";"Po_Fe_PA_FerriSorb_std";"Po_Fe_PA_GoethSorb_std";"Po_Fe_PA_Precip_std";"Po_Na_AMP_std";"Po_Na_ATP_std";"Po_Na_DNA_std";"Po_Na_PA_std";"R.fac"
0;0;0;0,244117700846821;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,256554495234246;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,499327803918933;0;0;0;0;0;0,000260874112576035
0;0;0;0,211939871838949;0;0;0;0;0,290925353010951;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,4971347751501;0;0;0;0;0;0,000298413728548131
0,246750174240777;0;0;0;0;0;0;0;0;0,49515146631153;0;0;0;0;0;0;0;0;0;0,258098359447693;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000315750821358179
0,134372609826662;0;0;0,24248471259478;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,623142677578558;0;0;0;0;0;0,000437456132131416
0;0;0;0;0;0;0;0;0;0;0;0,3997860505667;0;0;0;0,0817968967046509;0;0;0,518417052728649;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000489945837720953
0;0;0;0;0;0;0;0;0;0;0;0,370309605317632;0;0;0;0;0;0;0,526737683737046;0;0;0;0;0;0;0;0;0;0;0;0;0;0,102952710945322;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000495845903458807
0,0846315869651983;0;0;0;0;0;0;0;0;0;0;0,421023613413575;0;0;0;0;0;0;0,494344799621226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000499968829342756
0;0;0;0;0;0;0;0;0;0;0;0,349716805085048;0;0;0;0;0;0,0663897634821615;0,58389343143279;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00051148078573557
0;0,0642695198132982;0;0;0;0;0;0;0;0;0;0,386432536472283;0;0;0;0;0;0;0,549297943714419;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000538498035167577
0;0;0,0694525118617836;0;0;0;0;0;0;0;0;0,359870172893773;0;0;0;0;0;0;0,570677315244443;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000547262062898809
0;0;0;0,245912237819317;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,178325421053611;0;0;0;0;0;0;0;0,575762341127072;0;0;0;0;0;0,000555944436641542
0;0;0;0,159802722145434;0;0;0;0;0;0;0;0,503776032788751;0;0;0;0;0;0;0;0;0;0;0,336421245065815;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000570641116213295
0;0;0;0;0;0;0;0;0;0;0;0,334694758167065;0;0,0848591711956445;0;0;0;0;0,580446070637291;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000571293489159485
0;0;0;0,28828290117427;0;0;0;0;0;0;0;0;0;0;0,571187132173426;0;0;0;0;0;0;0;0;0;0;0,140529966652304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000572337208381083
0;0;0;0;0;0;0;0;0;0,347899628597513;0;0;0;0;0;0;0;0;0,447621357469459;0;0;0;0;0;0;0;0;0;0;0;0;0;0,204479013933027;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00057352868092549
0,195565759736615;0;0;0;0;0;0;0;0;0,460055389495138;0;0;0;0;0;0;0;0;0,344378850768247;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000575452350345647
0;0;0;0,240854532880823;0;0;0;0;0;0;0;0,23312031135888;0;0;0,526025155760298;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000580117265385818
0,129552678756726;0;0;0;0,303428855283991;0;0;0;0;0;0;0;0;0;0;0;0;0;0,567018465959283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000582434086101124
0;0;0;0;0,249451189845547;0;0;0;0;0;0;0;0;0;0;0;0;0;0,603758856841086;0;0;0;0;0;0;0;0;0;0;0;0;0;0,146789953313367;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000596537376399474
