Wavelength (nm)	Dilution Corrected Absorbance
230	1.660213
233	1.525699
236	1.421505
239	1.329743
242	1.267427
245	1.21743
248	1.181199
251	1.151015
254	1.127174
257	1.1034
260	1.082178
263	1.063387
266	1.04606
269	1.028138
272	1.008702
275	0.9835537
278	0.9525859
281	0.9122315
284	0.8658635
287	0.8195262
290	0.7696004
293	0.7207323
296	0.6752135
299	0.6314416
302	0.5912331
305	0.5574097
308	0.5296223
311	0.5055025
314	0.4842161
317	0.4657932
320	0.4476069
323	0.4297838
326	0.4130489
329	0.3963893
332	0.3797765
335	0.3638558
338	0.348089
341	0.3325458
344	0.3186923
347	0.3055599
350	0.2937426
353	0.2821399
356	0.2710615
359	0.2603451
362	0.2494139
365	0.2383602
368	0.2271956
371	0.2154754
374	0.2036813
377	0.1927619
380	0.1824943
383	0.1733118
386	0.1645945
389	0.1563185
392	0.1493824
395	0.1429758
398	0.1376797
401	0.1327185
404	0.1280756
407	0.1234318
410	0.1195897
413	0.1158288
416	0.1122112
419	0.1091153
422	0.1061875
425	0.1037506
428	0.1007543
431	0.09772538
434	0.09479044
437	0.09174515
440	0.08941009
443	0.08645151
446	0.08418273
449	0.08186749
452	0.08004694
455	0.07795603
458	0.07610447
461	0.07457063
464	0.07276131
467	0.07121239
470	0.06966301
473	0.06804752
476	0.06655197
479	0.06470667
482	0.06281352
485	0.06150847
488	0.05999145
491	0.05829669
494	0.05705307
497	0.05574745
500	0.05430342
503	0.05284418
506	0.05153895
509	0.05025055
512	0.04896275
515	0.04778768
518	0.0467039
521	0.04561657
524	0.04434738
527	0.04302982
530	0.04209801
533	0.04122247
536	0.04032003
539	0.03953139
542	0.03875192
545	0.03763339
548	0.03686361
551	0.03636552
554	0.03587075
557	0.03529315
560	0.03468838
563	0.03412835
566	0.03367232
569	0.03326143
572	0.03291067
575	0.03279466
578	0.03220616
581	0.03190342
584	0.03129733
587	0.03079022
590	0.03055977
593	0.0302378
596	0.03003832
599	0.0294857
602	0.02913963
605	0.02882325
608	0.0284476
611	0.02820577
614	0.02769103
617	0.0273187
620	0.0272622
623	0.02693873
626	0.02677876
629	0.02646174
632	0.02610032
635	0.02559913
638	0.02549411
641	0.02551975
644	0.02556764
647	0.02519586
650	0.02460989
653	0.0241824
656	0.02404761
659	0.02427416
662	0.02448983
665	0.02432527
668	0.02341824
671	0.02311051
674	0.02307037
677	0.02254281
680	0.02258508
683	0.02227353
686	0.02165068
689	0.02128974
692	0.02058028
695	0.02117016
698	0.02069702
701	0.02000789
704	0.01962499
707	0.0193257
710	0.01918846
713	0.01869524
716	0.01805443
719	0.01727254
722	0.01675509
725	0.01712165
728	0.01768933
731	0.01832686
734	0.01835846
737	0.01820006
740	0.01714257
743	0.01627123
746	0.01570304
749	0.01542185
752	0.01572072
755	0.01620454
758	0.0156848
761	0.01494795
764	0.01463734
767	0.01473433
770	0.01545817
773	0.01569913
776	0.01488556
779	0.01417605
782	0.01361393
785	0.01309597
788	0.01396592
791	0.01505311
794	0.01462062
797	0.01371698
800	0.01445373
