Wavelength (nm)	Dilution Corrected Absorbance
230	1.096294
233	0.9640694
236	0.8597991
239	0.7694239
242	0.7093751
245	0.6651569
248	0.6380736
251	0.6219436
254	0.6149133
257	0.6129451
260	0.6153889
263	0.6220611
266	0.6322152
269	0.6422566
272	0.6498539
275	0.6506442
278	0.6426353
281	0.6212861
284	0.586461
287	0.5454739
290	0.4992742
293	0.4546654
296	0.4152384
299	0.3796921
302	0.3490381
305	0.3245294
308	0.305312
311	0.2888068
314	0.2740666
317	0.2610751
320	0.2481425
323	0.2357336
326	0.2244585
329	0.2136873
332	0.2033907
335	0.1936475
338	0.1841823
341	0.1749036
344	0.1664643
347	0.1584082
350	0.1509976
353	0.1436246
356	0.1366766
359	0.1298748
362	0.1229837
365	0.1159438
368	0.1091841
371	0.1019783
374	0.09510794
377	0.08889642
380	0.08340479
383	0.07838817
386	0.07376035
389	0.06950267
392	0.06604964
395	0.06302455
398	0.06069437
401	0.05852902
404	0.05655914
407	0.05479253
410	0.05283047
413	0.05120228
416	0.04956676
419	0.04831562
422	0.04722508
425	0.04659734
428	0.04558132
431	0.04485107
434	0.04426989
437	0.04370983
440	0.04298936
443	0.04184978
446	0.04077795
449	0.03965421
452	0.03896468
455	0.03832898
458	0.03808039
461	0.03774034
464	0.03741783
467	0.03697515
470	0.03656953
473	0.0359672
476	0.03542596
479	0.03476997
482	0.03395756
485	0.03340555
488	0.03272399
491	0.03198227
494	0.03140452
497	0.03086527
500	0.03025097
503	0.02969336
506	0.02913943
509	0.02846883
512	0.02782388
515	0.02716995
518	0.02657022
521	0.02600577
524	0.02554282
527	0.02491897
530	0.02451303
533	0.02411151
536	0.02368373
539	0.02333223
542	0.0229594
545	0.02258074
548	0.02217981
551	0.02198483
554	0.02181481
557	0.02162494
560	0.02144067
563	0.02122734
566	0.02092594
569	0.02083695
572	0.02056303
575	0.02048977
578	0.0204678
581	0.02030563
584	0.01999625
587	0.01988284
590	0.01974175
593	0.01963356
596	0.019712
599	0.01951685
602	0.01951861
605	0.01937341
608	0.01916594
611	0.01904083
614	0.01875597
617	0.01878008
620	0.01877566
623	0.01863811
626	0.01852405
629	0.01846535
632	0.01835994
635	0.01825467
638	0.0183216
641	0.01821166
644	0.01796047
647	0.01760025
650	0.01740667
653	0.01716313
656	0.01733494
659	0.0173465
662	0.01717838
665	0.01692585
668	0.01651243
671	0.01653229
674	0.01658046
677	0.01620043
680	0.01609898
683	0.01602082
686	0.01579359
689	0.01538781
692	0.01497693
695	0.01478127
698	0.01433423
701	0.01381308
704	0.01383422
707	0.01414562
710	0.01412267
713	0.01329452
716	0.0121317
719	0.01107316
722	0.01067113
725	0.01106829
728	0.01184059
731	0.01235177
734	0.01227213
737	0.01173944
740	0.01094896
743	0.01038755
746	0.01006492
749	0.009706232
752	0.0100596
755	0.01040884
758	0.01027497
761	0.009946122
764	0.00997179
767	0.01027356
770	0.01064075
773	0.01080265
776	0.01097002
779	0.0110241
782	0.01033093
785	0.00974154
788	0.009684671
791	0.01006921
794	0.01061801
797	0.01032571
800	0.01056578
