Wavelength (nm)	Dilution Corrected Absorbance
230	1.533487
233	1.466273
236	1.412271
239	1.365519
242	1.324499
245	1.288843
248	1.255343
251	1.216724
254	1.175424
257	1.126086
260	1.07781
263	1.030061
266	0.9885329
269	0.9556314
272	0.9271743
275	0.901832
278	0.8762277
281	0.8461458
284	0.8027799
287	0.7818118
290	0.7470213
293	0.7105933
296	0.6731086
299	0.6351884
302	0.6020735
305	0.5748515
308	0.553607
311	0.536126
314	0.5209099
317	0.5085586
320	0.4982096
323	0.4891081
326	0.4811463
329	0.4738919
332	0.4660494
335	0.4579462
338	0.4489928
341	0.4386328
344	0.4268664
347	0.4135885
350	0.3986174
353	0.381299
356	0.3618482
359	0.3419124
362	0.3197987
365	0.2973148
368	0.2750225
371	0.2529308
374	0.232099
377	0.2138485
380	0.1979119
383	0.1843502
386	0.172264
389	0.161247
392	0.1522095
395	0.1440214
398	0.1370502
401	0.1304838
404	0.1245257
407	0.1187669
410	0.1130374
413	0.1075925
416	0.1025457
419	0.09769476
422	0.0927588
425	0.08835001
428	0.08429917
431	0.07991595
434	0.0756769
437	0.07184585
440	0.06801998
443	0.06439249
446	0.06121753
449	0.05827475
452	0.0557794
455	0.05317061
458	0.05091106
461	0.0489698
464	0.04682394
467	0.04494916
470	0.04339989
473	0.04155082
476	0.0397357
479	0.03813901
482	0.03663133
485	0.0356003
488	0.03421011
491	0.03276324
494	0.03185379
497	0.03077724
500	0.02969915
503	0.02866653
506	0.0275916
509	0.02675206
512	0.02565221
515	0.02484498
518	0.02390975
521	0.02314051
524	0.02245276
527	0.02159583
530	0.02098377
533	0.02043818
536	0.01981474
539	0.01947854
542	0.01864614
545	0.01816787
548	0.01750258
551	0.01695314
554	0.01535564
557	0.01617271
560	0.01566253
563	0.01533116
566	0.0149214
569	0.01460464
572	0.01416247
575	0.01372546
578	0.01347745
581	0.01305961
584	0.01274005
587	0.01251195
590	0.01229202
593	0.01188462
596	0.01184149
599	0.01114213
602	0.01087556
605	0.01062115
608	0.0105164
611	0.01011899
614	0.009899715
617	0.00990496
620	0.00969379
623	0.009717127
626	0.009521599
629	0.009337711
632	0.00917147
635	0.009106103
638	0.008882903
641	0.008790526
644	0.008551894
647	0.008447039
650	0.008439511
653	0.008060873
656	0.007663061
659	0.007689956
662	0.007828016
665	0.007624899
668	0.007325116
671	0.007132793
674	0.007293997
677	0.007339205
680	0.007088274
683	0.007106398
686	0.006916273
689	0.007184875
692	0.00696541
695	0.00658247
698	0.006589318
701	0.006772959
704	0.006311524
707	0.00663656
710	0.006770858
713	0.006228331
716	0.006077196
719	0.00575452
722	0.005739329
725	0.005499996
728	0.005678283
731	0.005638194
734	0.005169198
737	0.004572589
740	0.00450024
743	0.004631378
746	0.004847816
749	0.004797317
752	0.004881228
755	0.005306547
758	0.005789276
761	0.006008088
764	0.006233099
767	0.006071437
770	0.006377933
773	0.006725306
776	0.006946146
779	0.006579602
782	0.006544603
785	0.006920047
788	0.007757936
791	0.007367491
794	0.007127575
797	0.006996096
800	0.007562732
