Wavelength (nm)	Dilution Corrected Absorbance
230	0.006126481
233	0.005171609
236	0.004527676
239	0.004067229
242	0.003801988
245	0.00362866
248	0.00349328
251	0.003360162
254	0.003243488
257	0.003215629
260	0.003189747
263	0.003103132
266	0.003054473
269	0.003011059
272	0.002924793
275	0.002849756
278	0.001963134
281	0.002685945
284	0.002564354
287	0.002456236
290	0.002349122
293	0.002244334
296	0.002192613
299	0.002129735
302	0.002069238
305	0.002039047
308	0.001994612
311	0.001957747
314	0.001932401
317	0.001908765
320	0.001894615
323	0.001879511
326	0.001851415
329	0.001858592
332	0.001845729
335	0.001848797
338	0.001829873
341	0.001828448
344	0.001815254
347	0.001806263
350	0.001784561
353	0.0017741
356	0.001738525
359	0.00171732
362	0.001694522
365	0.001664971
368	0.00164084
371	0.001605329
374	0.001600677
377	0.001583411
380	0.001565427
383	0.001571185
386	0.001558276
389	0.001578035
392	0.001585368
395	0.001590912
398	0.001571895
401	0.001563855
404	0.0015503
407	0.001524487
410	0.001523478
413	0.001487492
416	0.001463984
419	0.001453043
422	0.001438909
425	0.001492372
428	0.001485582
431	0.001494256
434	0.001518913
437	0.001531041
440	0.001522284
443	0.001502862
446	0.001456444
449	0.001411539
452	0.001413957
455	0.001412835
458	0.001425208
461	0.001449231
464	0.001441137
467	0.001456344
470	0.00147075
473	0.001449002
476	0.001424009
479	0.001415127
482	0.001409613
485	0.001409503
488	0.001382771
491	0.001365466
494	0.001361461
497	0.001344366
500	0.001319533
503	0.001319939
506	0.001310664
509	0.001320322
512	0.001269003
515	0.001291983
518	0.001272819
521	0.001271067
524	0.001236769
527	0.001247882
530	0.001236135
533	0.001227406
536	0.001236043
539	0.00122552
542	0.001230656
545	0.00122856
548	0.001207062
551	0.001223126
554	0.001209941
557	0.001207308
560	0.001203791
563	0.00120648
566	0.001208112
569	0.001218451
572	0.001225028
575	0.001209294
578	0.001222037
581	0.00121104
584	0.001204732
587	0.00120825
590	0.001226827
593	0.001196475
596	0.001197506
599	0.001189716
602	0.001188539
605	0.001194085
608	0.001187245
611	0.001176668
614	0.001202714
617	0.001197833
620	0.001211753
623	0.001212022
626	0.001203213
629	0.001218881
632	0.001188268
635	0.001179804
638	0.001183881
641	0.001178127
644	0.001173615
647	0.001193882
650	0.001178106
653	0.001173032
656	0.0011813
659	0.001177408
662	0.001171801
665	0.001172521
668	0.001162621
671	0.001160835
674	0.001171847
677	0.001216368
680	0.001224369
683	0.001220234
686	0.001204085
689	0.001143965
692	0.001121308
695	0.001117002
698	0.001091407
701	0.001107241
704	0.001132374
707	0.001141146
710	0.001086323
713	0.0009851374
716	0.0008827887
719	0.0007758193
722	0.0007383873
725	0.0007666245
728	0.0008176945
731	0.0008294156
734	0.000816626
737	0.0007577274
740	0.0007154182
743	0.000710335
746	0.000717136
749	0.0007328721
752	0.0007422734
755	0.0007801769
758	0.0007911808
761	0.0008035962
764	0.0008340339
767	0.0008996558
770	0.0009209032
773	0.0009475632
776	0.0009419248
779	0.001001958
782	0.001084021
785	0.001083641
788	0.001093772
791	0.001123243
794	0.001120465
797	0.001195917
800	0.001202029
