mOz	abs_abu	sn	resolution	rel_abu
200.047871	4018.3262	3.06	831304	0.00122333912961677
200.064475	3550.2271	2.7036	996604	0.00108083105111174
200.525728	2746.4568	2.0915	991204	0.00083613124072457
200.940216	3391.978	2.583	764204	0.00103265369899517
200.995947	9128.7539	6.9517	1159704	0.00277915761306577
201.019269	7306.3286	5.5639	1211404	0.00222433849950213
201.040408	11018.6445	8.3909	1222504	0.00335451586090412
201.055659	21939.5957	16.7074	1199104	0.00667928997595609
201.076785	28076.5742	21.3808	1238504	0.00854763155973961
201.09204	7946.3276	6.0513	1102704	0.00241917977934038
201.113167	42186.4648	32.1257	1205204	0.0128432463073905
201.348651	3084.7532	2.3491	606504	0.000939122188430231
201.801984	20393.9648	15.5303	1210504	0.00620873814272892
202.027101	3219.9033	2.452	1233404	0.000980267281554233
202.058997	2636.5	2.0077	944004	0.000802655995233688
202.116536	2669.9702	2.0332	1085804	0.000812845662099484
202.229412	3671.7815	2.7961	868404	0.00111783706966173
202.998511	4675.4834	3.5605	1009704	0.00142340405144153
203.034919	40636.2266	30.9452	1232204	0.0123712918278645
203.05605	24426.0117	18.6008	1240704	0.00743625440191663
203.071305	35283.6992	26.8691	1203604	0.0107417685176947
203.092438	14486.0566	11.0314	1117704	0.00441013471545023
203.107701	7556.6455	5.7545	1019904	0.00230054497038903
203.114092	3299.8262	2.5129	749104	0.00100459900726691
203.128818	9182.5293	6.9926	1110104	0.00279552899452077
204.042748	4844.8154	3.6894	1218804	0.00147495548136184
204.066563	4742.2886	3.6113	1145704	0.00144374222488844
204.074686	2765.6785	2.1061	614404	0.000841983094600384
204.5389	3517.0139	2.6783	1044904	0.00107071962531963
205.014183	66276.2188	50.4704	1200104	0.0201771304233793
205.050569	76417.5547	58.1932	1195601	0.0232645584756508
205.086955	33826.4414	25.7594	1204304	0.0102981209888606
205.123342	6265.0605	4.7709	1246304	0.00190733486471715
205.15973	33412.9531	25.4445	1169204	0.0101722386209661
205.448129	2700.4351	2.0564	643504	0.000822120395507105
206.017544	5401.2031	4.0884	1044804	0.00164434213908203
206.045818	5119.4233	3.8718	950404	0.00155855710369203
206.053919	8259.9707	6.2455	1156904	0.00251466527699966
206.082192	4452.4639	3.3638	1132704	0.00135550800034006
