mOz	abs_abu	sn	resolution	rel_abu
200.056469	8982.0635	6.9557	1126604	0.00142380708453941
200.100952	10457.9561	8.0986	1142504	0.00165776071222188
200.57282	6608.8936	5.1179	1150204	0.00104762001834514
200.586947	6084.7876	4.712	941204	0.000964540463647087
200.706472	3198.3604	2.4768	1041204	0.000506993542901396
201.01938	2975.5691	2.3043	966104	0.00047167740075725
201.040489	14036.3496	10.8697	1177804	0.00222499584884386
201.055751	7790.272	6.0328	1221604	0.00123488822630669
201.076873	47550.0977	36.8226	1211104	0.00753748467440709
201.113257	96358.4297	74.6196	1218204	0.0152744205005846
201.128527	5917.874	4.5828	1119704	0.000938081870230777
201.594743	3008.2896	2.3296	1107404	0.000476864146510013
202.116606	11454.0078	8.8699	1088804	0.00181565154287873
203.019746	12380.4326	9.5874	1185604	0.00196250534696651
203.035008	14975.0039	11.5966	1195304	0.00237378823294061
203.056135	45689.7266	35.382	1202804	0.00724258478285629
203.071395	16120.3818	12.4836	1196404	0.00255534976036634
203.092524	63149.9961	48.9031	1195704	0.0100103291226806
203.107781	5928.9678	4.5914	1025504	0.000939840422821111
203.128906	42490.9766	32.9049	1205104	0.00673552948184774
203.42971	2987.0542	2.3132	803804	0.000473497980933136
203.954136	3364.9751	2.6058	893004	0.000533404755675433
204.095861	4901.0576	3.7954	1190904	0.000776899487808758
205.014275	9031.5762	6.994	1191404	0.00143165567445805
205.035405	17824.8301	13.8035	1193104	0.00282553328387084
205.050657	49220.1523	38.1159	1180401	0.00780221622201279
205.071784	18520.2715	14.342	1099404	0.00293577236113877
205.087037	13803.751	10.6896	1134604	0.0021881250858467
205.12343	10864.2764	8.4133	1059104	0.00172216926619527
206.02534	2944.3469	2.267	823904	0.000466728160579321
206.08229	9445.834	7.2616	1229304	0.00149732245475478
206.59102	3685.4814	2.7945	1192704	0.000584210357370357
207.029922	45542.9414	34.1312	1178704	0.00721931687702758
207.030159	2857.8777	2.1418	1233304	0.000453021348157604
207.066308	37984.6133	28.4393	1155404	0.00602119563283315
207.102686	18623.7188	13.9303	1184804	0.0029521704859813
207.139069	5667.2607	4.2349	1052704	0.00089835547639936
207.598845	3535.1265	2.6099	951904	0.00056037659446997
208.033272	5076.2173	3.7056	1029404	0.000804665225802683
208.177626	4526.1079	3.2918	530804	0.000717463697891894
208.177742	5869.7593	4.269	794704	0.000930454886661747
209.009185	29831.7305	21.2413	1137304	0.00472882753834579
209.04557	105950.9531	75.3717	1160204	0.0167949956752681
209.081959	143799.0938	102.2026	1165504	0.0227945581216151
209.118343	25373.8262	18.0175	1142804	0.00402217525020078
209.15473	8355.7988	5.9279	1105904	0.00132453366962123
210.048923	11714.8848	8.1284	1068904	0.00185700490458602
210.085311	15435.7324	10.7005	1134204	0.00244682139534803
210.581912	16716.3438	11.4487	1146304	0.00264981969121422
211.024838	162721.5313	110.2609	1154604	0.0257940805107915
211.061222	116947.7891	79.1753	1151704	0.0185381778520939
211.097605	65860.6016	44.5497	1119404	0.0104400053673755
