mOz	abs_abu	sn	resolution	rel_abu
200.092824	10783.8828	4.6501	1088504	0.00132956776187261
200.100928	12465.6504	5.3753	1265504	0.00153691645300656
200.562198	6838.5898	2.9488	1004904	0.000843144227675666
201.019327	10986.1904	4.7373	1172204	0.00135451069457417
201.055716	51103.5664	22.0361	1172404	0.00630066699187018
201.076842	53431.4102	23.0399	1220504	0.00658767178676233
201.092096	23599.3125	10.1761	1216204	0.00290960924597191
201.113226	114910.5938	49.5501	1213304	0.0141675706095507
201.128485	5924.4058	2.5546	1113404	0.000730432545124762
202.116575	10110.6738	4.3598	1104004	0.00124656639770696
202.912853	4754.3276	2.0501	727004	0.000586171124406248
202.998568	5526.7612	2.3832	765804	0.000681406099766626
203.034973	64605.4453	27.8582	1214904	0.00796534225244961
203.046187	5320.187	2.2941	1230604	0.000655937128909986
203.071363	71295.1953	30.7429	1201604	0.00879013570578605
203.092491	40387.4375	17.4153	1180204	0.00497945275190167
203.107751	21826.8301	9.4118	1155604	0.00269107613491783
203.128875	40189.8984	17.3301	1213004	0.00495509773766976
203.144149	7879.5313	3.3977	1004204	0.000971484111005566
204.030225	13296.085	5.7333	1198404	0.00163930249456328
204.042772	7779.2974	3.3545	852504	0.000959126061075094
204.066613	24754.543	10.6743	1176704	0.00305204006229458
205.014239	91389.1016	39.4075	1195604	0.01126755599327
205.050627	134521.3281	58.0063	1205404	0.0165854195972947
205.061859	8348.2148	3.5998	1027604	0.00102926909287885
205.087013	92891.0938	40.0551	1202304	0.011452739794387
205.098247	14506.0449	6.2551	1054004	0.00178848101458564
205.123394	18642.2852	8.0387	1064304	0.00229844684602423
206.009493	22819.834	9.791	1064204	0.00281350568996212
206.0176	9235.0576	3.9615	1074604	0.0011386098209447
206.022572	5240.3955	2.2477	931004	0.000646099465793742
206.045875	16013.7959	6.8644	1109204	0.00197437483035775
206.053979	17784.6816	7.6219	1230204	0.00219271108088536
206.08226	25877.0918	11.0821	1112004	0.00319044148257047
206.993506	17434.793	7.2967	1045604	0.00214957257396402
207.029891	92595.9844	38.7177	1176004	0.0114163551311128
207.066275	147180.5156	61.4856	1190004	0.0181461976494727
207.077517	6829.3149	2.8522	1195804	0.000842000705600797
207.102663	66507.6875	27.7588	1189704	0.00819987372421168
207.113898	10182.0313	4.2486	996404	0.00125536421509124
207.139041	16262.3779	6.7814	1140304	0.00200502303189253
208.025142	5722.479	2.3348	1057204	0.00070553656206214
208.061519	26740.7363	10.9008	1151604	0.00329692204307124
208.097915	9015.6182	3.6719	1106504	0.00111155467231821
208.176087	11916.1094	4.8441	1148804	0.00146916237861814
208.541446	6548.9092	2.6388	1038904	0.000807428892657381
209.009152	580780	231.4201	1182101	0.0716055968950606
209.045538	184464.6563	73.4391	1176404	0.0227430383628977
209.081927	120249.8594	47.8325	1197104	0.014825859979483
209.093155	20884.832	8.3053	1117204	0.00257493519303878
209.11831	38893.0625	15.4574	1189604	0.00479520809151382
209.54927	5452.9565	2.1453	1006104	0.000672306561908641
209.961503	5670.4761	2.2095	754604	0.000699125014325003
210.01251	59155.6484	23.0224	1159004	0.00729342524432029
210.040788	11975.4268	4.6576	1190704	0.00147647574655998
210.077171	21209.3945	8.242	1174704	0.00261495119142415
