mOz	abs_abu	sn	resolution	rel_abu
200.010336	2601.6868	3.4911	1234604	0.00011991619052395
200.129156	10750.6123	14.4259	1185804	0.00049551409217125
200.17366	2045.7939	2.7452	935304	9.42941368212097E-05
200.572165	1600.3678	2.1475	447704	7.37636867024867E-05
200.937913	2805.5093	3.7646	1312904	0.000129310717852554
201.002772	2001.7555	2.6861	1219504	9.22643317098604E-05
201.076787	2659.3533	3.5685	1118004	0.00012257413805278
201.11317	9792.748	13.1405	1196804	0.000451364489730675
201.650226	1648.5721	2.2122	826704	7.59855052637653E-05
201.801986	27539.9199	36.9549	1221904	0.00126936196998914
202.10841	3332.0317	4.4711	1270304	0.000153579035020296
202.796134	2948.2817	3.9562	1139504	0.000135891341746238
203.034923	1699.2007	2.2801	1214004	7.83190639548272E-05
203.092409	1737.33	2.3313	933804	8.00765085493667E-05
203.799061	3082.0266	4.1357	826404	0.000142055872738211
204.605604	3217.8896	4.318	1155604	0.000148318030578715
204.791466	53868.7773	72.2846	1186104	0.00248290399982006
204.794097	3161.0012	4.2416	1176404	0.000145695947008547
205.050564	2292.3765	3.0761	1109104	0.00010565955022973
205.159736	28158.5977	37.785	1153504	0.00129787788702332
206.16309	2996.0237	3.9809	1296204	0.000138091852110512
206.788514	36044.5352	47.0675	1181704	0.00166135422234161
206.789418	54532.6523	71.2078	1195904	0.00251350313303782
206.79114	2478.0786	3.2357	895304	0.000114218877357153
206.791851	2891.4673	3.7754	1118004	0.000133272668962525
206.824445	2634.3662	3.4366	1162604	0.000121422439914387
207.012073	13040.9473	16.9247	1175804	0.000601079546177347
207.029812	2154.8142	2.7952	938004	9.93190687483649E-05
207.066218	1714.1334	2.2213	1099104	7.90073376156833E-05
207.102609	14669.4063	18.991	1235504	0.000676138004291691
207.138989	10389.5352	13.4369	1202104	0.000478871431602946
208.097858	1804.553	2.2743	1201404	8.31749314938931E-05
208.105968	2626.7715	3.3098	949904	0.000121072387213127
208.178207	4903.6392	6.1668	757704	0.000226017110348529
208.785565	6930.4102	8.5773	1140604	0.000319434449201314
208.786467	36245.7031	44.8577	1201004	0.00167062639461988
208.788934	1899.9303	2.3512	944504	8.75710342371057E-05
208.789828	4936.6558	6.1091	1059004	0.000227538901863193
209.081871	6582.7705	8.0844	1091704	0.000303411141361612
209.154639	16203.6445	19.8624	1154904	0.000746853664724116
209.566093	1727.3014	2.095	788004	7.96142732379186E-05
210.030281	1745.3409	2.092	905504	8.04457446198531E-05
210.059402	52065.6953	62.3609	1149304	0.00239979686922989
210.077113	5277.4092	6.3181	1139604	0.000243244808368189
210.158012	2394.9868	2.8614	736404	0.000110389034303109
210.330609	1807.5801	2.1502	634304	8.33144557057756E-05
210.613325	31143.8438	36.7865	1156004	0.00143547298113245
210.623781	7038.4658	8.3115	1061204	0.000324414916456934
210.783516	5647.2734	6.6422	1109804	0.000260292481391394
210.786008	1888.9269	2.2216	884804	8.70638687278633E-05
210.786879	2767.762	3.2551	845204	0.000127570880290798
211.043326	1950.3833	2.2793	1103204	8.98964992240922E-05
211.061142	2527.8928	2.9529	1207204	0.000116514898960521
211.062764	5428.6621	6.3411	1038804	0.000250216312998839
211.097516	12645.7139	14.7585	1111804	0.000582862563373795
211.133906	20649.9453	24.0785	1141304	0.000951791266690499
211.170288	6724.3838	7.8338	1014104	0.000309938340355559
211.536996	6617.4258	7.6403	1140404	0.00030500846335958
212.036774	1897.3707	2.17	680504	8.74530578991141E-05
212.055201	2288.8367	2.6174	1044904	0.000105496394798717
212.074662	2384.2603	2.7261	3169504	0.000109894631588049
212.075019	920612.25	1052.5921	1185101	0.0424325917976301
212.075281	3461.0308	3.9572	1741304	0.000159524823980373
212.076521	1944.0753	2.2228	1308604	8.96057527246192E-05
212.129157	8219.96	9.3944	1234704	0.000378872003140136
212.13725	3355.4597	3.8346	1187804	0.000154658871575409
212.785648	3146.6299	3.5777	970804	0.000145033549233043
213.022633	2943.8027	3.3409	986104	0.000135684896982265
213.074429	5608.793	6.3628	1019704	0.000258518853997875
213.076779	4558.9624	5.1718	1138004	0.000210130367633001
213.078393	91279.0078	103.5472	1147304	0.0042072054523173
213.113179	4666.394	5.2921	1124104	0.000215082073662294
213.149558	4175.7534	4.7344	939704	0.000192467609973435
213.185937	8100.6494	9.1817	1152604	0.000373372773701325
213.658911	3628.5085	4.0976	1138404	0.000167244157368894
214.081758	4389.4868	4.9407	1197804	0.000202318947619354
214.108415	20846.2285	23.4594	1103104	0.000960838294798514
214.1448	49019.3125	55.1485	1154004	0.00225938388014386
214.783639	3595.1887	4.0248	1066104	0.000165708390848104
215.001901	18543.5957	20.7247	1142604	0.000854706014175229
215.056038	2767.7725	3.092	993504	0.000127571364253741
215.074193	3981.2539	4.447	954804	0.000183502795646509
215.092425	6655.2656	7.4329	1130504	0.000306752564404406
215.128817	9520.373	10.6298	1122604	0.000438810260530619
215.148171	5765.2656	6.4361	1021704	0.000265730943521248
215.165183	3130.2173	3.494	1058004	0.000144277064452249
216.124066	13161.9678	14.5842	1145404	0.000606657587829134
216.16045	8324.7891	9.2217	1092904	0.000383703755497128
216.78057	2899.4163	3.1967	643204	0.000133639051956234
217.048391	2410.2043	2.6519	843004	0.000111090434882648
217.050579	2970.6682	3.2686	981004	0.000136923173786576
217.071703	3255.2705	3.5811	1063604	0.000150040980138345
217.108078	3480.2063	3.8275	1227404	0.00016040865554357
217.144468	23831.1445	26.2023	1149601	0.00109841817403455
217.830356	1953.9642	2.1373	837504	9.00615490243399E-05
218.147839	2326.2085	2.5384	924204	0.000107218924923797
218.167583	3092.5024	3.3741	1054804	0.00014253872026186
218.639459	4464.7915	4.8541	1139404	0.000205789869927354
218.972744	1937.5311	2.1012	1027804	8.93041193635141E-05
219.066199	3110.427	3.3709	945904	0.000143364895706447
219.087329	2586.1223	2.8022	1197404	0.000119198796121438
219.175372	6262.2173	6.7811	1025104	0.000288636296593878
219.737896	3759.886	4.0544	865804	0.000173299570849317
220.146812	61398.9492	66.0082	1094304	0.00282998249068164
221.04549	3556.2537	3.798	1067404	0.000163913810163738
221.081867	17939.9551	19.1542	1118804	0.000826883187385474
221.118245	2893.2319	3.0882	800504	0.000133354002391975
221.150169	9508.3096	10.1468	1084204	0.000438254237809988
221.154638	28591.0313	30.5098	1106104	0.00131780949061471
222.090175	53357.3477	56.5497	1113504	0.00245933133559576
222.157985	2860.3999	3.03	1001704	0.000131840719406767
222.764707	2590.458	2.732	873904	0.000119398635943531
223.024744	2253.7603	2.3724	1129304	0.000103879663582148
223.028291	135822.5469	142.9703	1109701	0.0062602932879963
223.061135	4065.2246	4.2781	1060504	0.000187373148703468
223.093537	6603.4585	6.9477	1030704	0.000304364686634455
223.09751	6728.7451	7.0793	1065004	0.000310139360125399
223.1339	45517.5234	47.8763	1093904	0.00209798043646636
223.170288	6696.3682	7.0415	1067204	0.000308647053476891
224.027856	19186.2969	20.0508	1128404	0.000884329210767982
224.031647	5413.9863	5.6578	1220704	0.000249539880297988
224.056375	4841.4941	5.0586	1043004	0.00022315273649241
224.087221	18417.4473	19.2391	1097504	0.000848891618849592
224.129149	2850.5371	2.9768	1112504	0.000131386126100647
224.137254	5436.8638	5.6774	1102304	0.000250594343367375
224.165537	13621.7617	14.2214	1079704	0.00062785027440238
224.570939	3031.384	3.1556	630504	0.000139721668763225
225.007551	12139.3154	12.5975	1143004	0.00055952179114593
225.025136	13419.0205	13.9238	1087504	0.000618505586038563
225.040405	4259.1543	4.4189	980004	0.000196311699974686
225.061932	4870.999	5.0529	1058504	0.000224512667753079
225.076785	4136.8867	4.2909	1144104	0.000190676177352784
225.113171	10641.5693	11.0349	1060404	0.000490488113962303
225.149551	56787.4727	58.8712	1089904	0.00261743165844053
225.185931	7133.0215	7.3928	1140304	0.000328773150252149
226.054331	3897.8108	4.0197	762104	0.000179656760575143
226.072028	3049.675	3.1447	870604	0.000140564732209937
226.108404	4138.6548	4.2668	892704	0.000190757672103214
226.144801	38686.0625	39.8764	1083704	0.0017831067295923
226.152909	7750.5967	7.9887	1088404	0.00035723824656815
226.971247	18382.4961	18.8639	1112404	0.000847280658314972
226.98682	3926.3811	4.0289	1019404	0.000180973614524714
227.038288	4332.7524	4.4446	996204	0.00019970396217235
227.056037	2903.2251	2.9779	1119004	0.00013381460605693
227.092425	19265.3887	19.757	1087004	0.000887974686986596
227.103663	4605.5679	4.7228	1138204	0.000212278494770158
227.128807	11398.835	11.6874	1072204	0.000525391784134459
227.148147	4960.23	5.0853	1029004	0.000228625477026141
227.165217	2369.448	2.429	992604	0.00010921190736894
227.201583	22738.334	23.3049	1070704	0.00104804867063215
227.531955	2103.2122	2.1518	1051904	9.69406443879012E-05
228.069924	2456.2952	2.5058	1131604	0.000113214843226427
228.0958	2687.4922	2.7413	946904	0.00012387110803915
228.124065	9290.2197	9.4747	1067704	0.00042820210163443
228.160448	43604.2891	44.4617	1085201	0.00200979619813461
228.204921	3591.0601	3.6608	1042804	0.000165518096618915
228.950509	8192.9844	8.319	1086604	0.00037762865163868
228.966082	2556.5088	2.5956	928504	0.000117833859301187
228.969204	16836.0762	17.0933	1101204	0.000776003522512758
229.071688	4211.1963	4.2732	963704	0.000194101233801299
229.108079	5989.0884	6.0761	1053104	0.000276047318854514
229.144464	10968.2568	11.1254	1079404	0.000505545699099681
229.163801	4999.3311	5.0705	1062104	0.000230427713543348
229.45703	2031.6696	2.0574	855104	9.3643123697794E-05
230.139712	7668.4453	7.7374	1019804	0.000353451748157115
230.177051	2506.9136	2.529	714004	0.000115547931782058
230.930829	2505.7734	2.5178	1049204	0.000115495378015619
230.94534	2723.7124	2.7365	659504	0.00012554055895231
230.948476	9195.3623	9.2385	1060404	0.000423829961970653
231.033193	13722.625	13.7809	1042704	0.000632499236260384
231.066216	6843.9854	6.8719	1070504	0.000315450982481648
231.087337	3830.8379	3.846	1102804	0.000176569865167002
231.123742	4537.6543	4.5548	1017304	0.000209148240891495
231.138985	2779.731	2.79	1145904	0.000128122551954113
231.175391	17712.0742	17.774	770804	0.000816379767288493
232.178781	2589.0652	2.5845	704004	0.000119334439411435
232.924603	3191.8691	3.1738	888804	0.000147118701268389
232.968021	4148.3916	4.124	807204	0.000191206457854018
233.045452	3300.8306	3.2801	1021804	0.000152140923003063
233.081856	2889.7864	2.8711	1047104	0.000133195193409107
233.102974	3656.7263	3.6327	983104	0.000168544763991092
233.154218	2348.7444	2.3327	1632404	0.000108257643065438
233.15464	862871	856.9658	1079901	0.0397711989135631
233.19102	11571.9375	11.4906	1081504	0.000533370374166962
234.149891	7172.4941	7.0867	1079104	0.000330592509839197
234.15799	132035.5938	130.4507	1060704	0.00608574614825417
234.160933	2390.9067	2.3622	949104	0.0001102009755218
234.194399	2715.0381	2.6819	863504	0.000125140745642167
234.961071	3318.8369	3.2654	900204	0.000152970864140263
235.061123	11216.3604	11.0301	1075104	0.000516981217997374
235.097503	5880.1143	5.7814	956904	0.000271024516364308
235.133888	10189.251	10.0163	1084904	0.000469639990567793
235.137287	5282.5156	5.1928	1043004	0.000243480171070299
235.158868	2771.875	2.7245	962904	0.000127760455489329
235.161343	9537.4336	9.3742	992104	0.000439596612738753
235.17028	17043.9063	16.7515	1047004	0.000785582766973779
236.096135	16837.7285	16.4703	1061504	0.000776079679843303
236.105342	42670.2578	41.7372	1030301	0.00196674509939124
236.105819	2870.7488	2.808	896604	0.000132317717892562
236.13728	2543.043	2.487	909504	0.000117213197568054
236.141738	3059.3716	2.9919	921304	0.000141011665074044
236.755466	3150.2043	3.0711	803804	0.000145198299437183
236.924442	2282.1648	2.2229	865104	0.00010518887552639
236.959032	3636.9958	3.542	1024904	0.00016763535152948
237.043935	2385.1699	2.3218	850804	0.000109936556606426
237.076774	5935.2446	5.7767	944804	0.000273565566101134
237.108677	5089.7075	4.9529	947104	0.000234593316259735
237.113158	6131.2041	5.9663	1002904	0.000282597674322991
237.11654	21398.5078	20.8226	1026804	0.000986293791502127
237.14955	5677.8271	5.5241	1000104	0.000261700753636313
237.185941	8224.873	8.0007	986904	0.000379098451705753
237.764985	18893.168	18.3241	1004304	0.000870818398851468
238.072012	3892.7227	3.7696	935604	0.000179422241351306
238.075409	3008.9465	2.9137	945704	0.000138687486045735
238.108411	3203.2659	3.1014	851404	0.000147643999255895
238.119902	2793.9067	2.7049	1045204	0.000128775934191364
238.753443	14690.1377	14.1764	1022904	0.000677093549944699
239.0232	39114.3477	37.6951	1052504	0.00180284712633866
239.05603	6817.5244	6.5691	971704	0.00031423134977357
239.059582	74179.0703	71.4745	1062604	0.00341904011158618
239.077525	2297.3469	2.2134	779304	0.000105888644459436
239.092422	10792.8428	10.3976	1022504	0.000497460568082155
239.128816	712737.1875	686.5103	1055304	0.0328512749381495
239.140069	2313.6638	2.2284	1213404	0.000106640718263692
239.165201	5899.5742	5.6814	1053004	0.000271921456409504
239.201575	7292.8188	7.0219	1101304	0.000336138480879961
239.76031	315576.6563	302.9983	1037604	0.0145454673643968
239.762033	17546.8262	16.8473	1014104	0.000808763204583212
239.762936	17962.8438	17.2466	1014704	0.000827938166682
240.022769	5715.1563	5.4801	977804	0.000263421320254596
240.059158	10098.5957	9.6815	1105304	0.000465461532873805
240.062943	4386.5781	4.2053	1032904	0.0002021848806658
240.087676	9309.6348	8.9239	997004	0.000429096976771069
240.124066	48012.0664	46.0142	1022804	0.00221295818615483
240.132172	96660.4688	92.6344	1033704	0.00445524618595718
240.348523	2332.5691	2.233	592404	0.000107512095847155
240.751399	13101.873	12.5188	1063604	0.000603887715803685
240.760766	6757.2168	6.4563	1069004	0.000311451669432476
241.002458	7038.9878	6.7195	1008104	0.000324438976328958
241.020063	5236.5703	4.9986	972004	0.00024136247367933
241.056432	7638.7402	7.2906	983704	0.000352082589336333
241.071693	6491.7197	6.1955	1023004	0.000299214454396771
241.108078	19667.084	18.7672	1037704	0.000906489509803614
241.119305	3812.0012	3.6374	1026204	0.000175701649474767
241.127405	5601.8306	5.3451	1057704	0.000258197945084126
241.133066	4414.355	4.212	956204	0.000203465165453564
241.135512	4857.8257	4.6351	979904	0.000223905487844787
241.14447	24651.2422	23.5202	1028804	0.00113621787845764
241.217221	15998.2656	15.2602	1069804	0.000737387400259847
241.757359	333637.3438	317.6145	1031704	0.0153779153144127
241.758263	332043.4063	316.0961	1032204	0.0153044480112257
241.759093	5171.6182	4.9232	865404	0.000238368720396448
241.759981	18782.9785	17.8808	953004	0.000865739576498317
241.793294	6292.1895	5.9892	983604	0.000290017766510096
242.103352	2871.6018	2.7302	815704	0.000132357034120217
242.111418	2927.2307	2.783	815304	0.000134921065183079
242.139714	63463.5273	60.3312	1017204	0.00292514242338037
242.147826	3230.6184	3.0711	1042404	0.00014890472272242
242.173172	4571.4434	4.3453	1184604	0.000210705638251251
242.174614	6589.8394	6.2638	1540104	0.000303736959042354
242.175321	4127.7803	3.9235	1449804	0.000190256447815244
242.175496	3111.9011	2.9579	843704	0.000143432839494474
242.175622	6574.2061	6.2489	1510804	0.000303016393530273
242.176105	2483289	2360.4083	1040104	0.114459033596984
242.176683	6067.6289	5.7674	2880104	0.000279667384714035
242.176809	2822.8696	2.6832	1440704	0.000130110883745833
242.176912	3941.6997	3.7466	1797104	0.000181679674976018
242.177137	2844.2393	2.7035	1352404	0.000131095849736604
242.177661	2321.6399	2.2067	759104	0.00010700835034271
242.178061	2137.3604	2.0316	1779804	9.85145932803082E-05
242.220587	2497.8494	2.3739	1051104	0.000115130147314633
242.603452	2174.1978	2.0634	608904	0.000100212491996175
242.749347	5315.2373	5.0417	941704	0.000244988370140021
242.7578	7662.5454	7.2679	974904	0.000353179811684027
242.758709	7451.6313	7.0678	974304	0.000343458420392889
242.801104	2818.4316	2.6729	908404	0.000129906328741923
242.981722	8512.5303	8.0675	1028704	0.000392357068228082
243.002548	27644.6211	26.1975	1016704	0.00127418782721656
243.08733	10483.209	9.9314	977804	0.00048318901712012
243.12373	11517.9326	10.9102	1038804	0.000530881196039284
243.134959	3765.9675	3.5671	967604	0.000173579877576734
243.160107	57961.3477	54.8956	1028704	0.0026715375631756
243.173124	6994.3945	6.6241	955804	0.000322383594928363
243.179455	308251.2813	291.9265	1027704	0.0142078283126249
243.182379	6909.916	6.5439	929504	0.000318489836501647
243.196493	6840.5366	6.4779	999304	0.00031529202139614
243.754414	95768.1563	90.5067	1019904	0.00441411797799729
243.755319	302477.9375	285.8589	1024204	0.0139417250310612
243.757036	5778.1323	5.4606	925904	0.000266323991711605
243.79032	3626.1904	3.4265	1023704	0.000167137312178591
244.05957	3081.2617	2.9087	747704	0.000142020617190106
244.072126	10445.8701	9.8606	989204	0.000481468003412261
244.118969	4869.9883	4.5963	893504	0.000224466082862937
244.155363	7640.834	7.2105	970604	0.000352179096156339
244.163469	4211.9932	3.9747	1004004	0.000194137964284088
244.180341	10860.3672	10.2478	997904	0.000500572883067731
244.182808	16112.877	15.2039	1015904	0.000742670035540395
244.755793	5061.3872	4.766	1066304	0.000233287985237379
244.960974	3896.8408	3.6667	865504	0.000179612051617552
244.981813	3058.262	2.8774	881604	0.000140960521713896
244.989825	3081.3826	2.8991	988604	0.000142026189677706
245.000501	23290.4609	21.9116	1018604	0.00107349714295933
245.048848	81757.1406	76.9033	1010404	0.0037683263215553
245.066632	3231.5911	3.0395	771604	0.000148949556127625
245.081872	2759.6563	2.5955	887204	0.000127197274726312
245.10299	6538.6914	6.1493	1014504	0.000301379460317712
245.118238	3754.9707	3.5312	895804	0.00017307301627277
245.13937	6013.25	5.6544	1014904	0.000277160968287245
245.175751	5548.0913	5.2163	946904	0.000255721008914321
245.75146	10420.8701	9.7773	941504	0.000480315710690824
245.752365	103569.9375	97.1737	1006904	0.00477371540563746
246.003824	2811.6504	2.6356	710404	0.000129593771645819
246.05219	9685.3008	9.0773	934904	0.000446412064670724
246.069162	3774.1047	3.537	809504	0.000173954935030049
246.940279	3609.7256	3.3723	969404	0.000166378421410594
246.979791	2293.9087	2.1427	756004	0.000105730171946042
247.044663	2486.4712	2.3221	1194604	0.00011460570663291
247.061125	5107.9165	4.7699	950104	0.000235432600186321
247.118641	5516.7827	5.1507	977404	0.000254277942038386
247.133888	3097.917	2.8922	1032704	0.00014278828842864
247.137273	3540.6963	3.3055	966404	0.000163196743012359
247.170286	296650.5313	276.9121	1019501	0.0136731299210965
247.17055	9802.7236	9.1505	1092504	0.000451824282181554
247.325069	9357.9219	8.7304	752404	0.000431322611725841
247.74941	7796.9009	7.263	990704	0.000359372486273428
248.079933	4265.2881	3.9685	902904	0.000196594417298476
248.173634	48541.1094	45.1486	1026404	0.00223734268208391
248.546466	10676.6494	9.9172	972804	0.000492105015718195
248.740941	24597.0098	22.8316	982604	0.0011337182144662
248.74356	2173.533	2.0175	983004	0.000100181850228126
249.022631	17306.2129	16.0479	988904	0.000797672926412374
249.040377	3986.5867	3.6965	960704	0.000183748593511504
249.046254	2917.5234	2.7052	1016304	0.000134473639137687
249.07679	5821.4355	5.3971	1040804	0.000268319910198602
249.113168	8578.5215	7.9522	955904	0.000395398715405637
249.149542	41440.5391	38.4101	997604	0.00191006526309424
249.152912	25345.9512	23.4922	1012004	0.00116823820342631
249.176985	3790.5483	3.513	979404	0.000174712848653818
249.18593	7243.8735	6.7133	941404	0.000333882508362419
250.121466	3857.77	3.5633	904604	0.000177811211679123
250.14479	220098.7656	203.2816	1001904	0.0101447282239261
250.1529	7128.9502	6.5841	951104	0.000328585497077878
250.156305	3489.0657	3.2223	772404	0.000160817000429022
250.223394	2312.3154	2.135	574204	0.000106578568203469
250.737992	6960.4834	6.4151	933404	0.000320820574380126
250.738905	48341.9648	44.5542	993204	0.00222816376716017
250.741351	4836.5527	4.4576	836204	0.000222924978922262
251.056039	4333.7778	3.9897	956004	0.000199751224610613
251.092403	5945.208	5.4725	927004	0.000274024796233164
251.095789	9895.0586	9.1082	1007504	0.000456080160118909
251.11358	3520.9934	3.2408	839904	0.000162288602681911
251.128822	8867.9863	8.1619	937004	0.000408740642691726
251.132191	5167.7451	4.7562	767904	0.000238190202598872
251.14815	32095.3301	29.5377	979204	0.00147932861065393
251.165197	11235.3604	10.3394	948404	0.000517856960465666
252.12411	2506.4812	2.2988	482904	0.000115528001727149
252.735948	18459.3164	16.8933	948104	0.000850821437216916
252.736851	29363.3984	26.8722	989304	0.00135340921011901
252.739303	9883.8916	9.0453	905004	0.000455565454006098
252.940535	2239.0405	2.0476	638604	0.000103201202846108
253.035294	3079.3594	2.8151	1126404	0.000141932936932346
253.071695	8074.3359	7.3806	961104	0.000372159939520303
253.075248	28572.5332	26.1173	1055304	0.0013169568815751
253.090256	3361.3328	3.0723	819104	0.0001549295727907
253.108059	8573.751	7.8361	971304	0.000395178834908533
253.144456	43246.2148	39.5205	984604	0.00199329194174967
253.180842	9468.6572	8.6518	1006804	0.000436426590933687
253.217239	12872.334	11.7604	947704	0.000593307871044248
254.074829	3971.3459	3.6174	906704	0.000183046118995149
254.103303	2292.3162	2.0878	755504	0.000105656770899686
254.116403	3360.9451	3.0609	568004	0.000154911703035176
254.139706	18676.3984	17.0079	946704	0.000860827117559116
254.147814	5454.2188	4.9668	966104	0.000251394264974597
254.733894	8089.6191	7.3516	897504	0.000372864368325114
254.734751	3353.667	3.0477	799404	0.00015457624296894
254.737242	4684.2954	4.2569	908504	0.000215907179779235
254.769936	3822.418	3.4733	935104	0.000176181777587593
254.966163	6271.5806	5.6948	917704	0.000289067867091423
255.01813	11741.8945	10.6601	950604	0.000541203982729252
255.050956	5508.2983	5.0002	1001804	0.000253886881543755
255.054517	4107.9258	3.729	980404	0.000189341319981733
255.069592	9214.4248	8.364	982804	0.000424708585170749
255.072097	3740.0771	3.3948	864404	0.00017238654479773
255.087344	12078.9209	10.9634	1005804	0.000556738105435337
255.105971	20826.043	18.9014	938204	0.000959907910609371
255.123735	31731.0449	28.7969	966904	0.00146253808327444
255.134964	21179.0059	19.2198	947904	0.000976176573833663
255.143065	2628.0742	2.3849	1000004	0.000121132430882256
255.160124	7595.8403	6.8926	970604	0.000350105259635518
255.19649	6368.3257	5.778	950604	0.000293527014074011
255.229634	2255.27	2.046	1145604	0.00010394924823501
255.231237	3011.875	2.7323	1515304	0.000138822465615124
255.231878	2640.7834	2.3957	1740104	0.000121718219628468
255.232143	2767.7603	2.5109	1603204	0.000127570801934893
255.232274	3281.0933	2.9766	1287604	0.00015123119711783
255.23246	5417.0752	4.9143	1207004	0.000249682252977478
255.232888	1656706.375	1502.9391	992901	0.076360427898832
255.233506	3339.0132	3.0291	1375904	0.000153900824285685
255.233639	2435.8303	2.2097	1482104	0.00011227158101383
255.554297	4984.0171	4.5164	802804	0.000229721865113905
