#Columns,4,,,
#Header_Rows,12,,,
Field_Name,Sample_Name,Material,MBD_P_mg_per_L,Methods_Deviation
Unit,N/A,N/A,milligrams_per_liter,N/A
Unit_Basis,N/A,N/A,as_Molybdate_Reactive_Phosphorus,N/A
MethodID_Analysis,N/A,N/A,MBD_Filt_T_AN_000,N/A
MethodID_Inspection,N/A,N/A,MBD_Filt_T_IN_000,N/A
MethodID_Storage,N/A,N/A,MBD_Filt_T_ST_000,N/A
MethodID_Preservation,N/A,N/A,MBD_Filt_T_PRES_000,N/A
MethodID_Preparation,N/A,N/A,MBD_Filt_T_PREP_000,N/A
MethodID_DataProcessing,N/A,N/A,MBD_Filt_T_DP_000,N/A
Analysis_DetectionLimit,-9999,-9999,0.0087,N/A
Analysis_Precision,-9999,-9999,-9999,N/A
Data_Status,N/A,N/A,ready_to_use,N/A
#Start_Data,BSLE_0001A-filt0.7,Liquid>aqueous,5.13,MBD_002
N/A,BSLE_0001B-filt0.7,Liquid>aqueous,4.59,MBD_002
N/A,BSLE_0001C-filt0.7,Liquid>aqueous,4.73,MBD_002
N/A,BSLE_0002A-filt0.7,Liquid>aqueous,3.47,N/A
N/A,BSLE_0002B-filt0.7,Liquid>aqueous,3.4,N/A
N/A,BSLE_0002C-filt0.7,Liquid>aqueous,2.91,MBD_002
N/A,BSLE_0007A-filt0.7,Liquid>aqueous,0.97,MBD_002
N/A,BSLE_0007B-filt0.7,Liquid>aqueous,Below_Range_0.35_ppm,MBD_001; MBD_002
N/A,BSLE_0007C-filt0.7,Liquid>aqueous,0.73,MBD_002
N/A,BSLE_0008A-filt0.7,Liquid>aqueous,1.34,MBD_002
N/A,BSLE_0008B-filt0.7,Liquid>aqueous,1.07,MBD_002
N/A,BSLE_0008C-filt0.7,Liquid>aqueous,1.35,MBD_002
N/A,BSLE_0009A-filt0.7,Liquid>aqueous,8.92,N/A
N/A,BSLE_0009B-filt0.7,Liquid>aqueous,9.48,N/A
N/A,BSLE_0009C-filt0.7,Liquid>aqueous,Above_Range_10.65_ppm,MBD_001
N/A,BSLE_0010A-filt0.7,Liquid>aqueous,0.2,N/A
N/A,BSLE_0010B-filt0.7,Liquid>aqueous,0.43,MBD_002
N/A,BSLE_0010C-filt0.7,Liquid>aqueous,0.92,N/A
N/A,BSLE_0011A-filt0.7,Liquid>aqueous,Above_Range_5.29_ppm,MBD_001
N/A,BSLE_0011B-filt0.7,Liquid>aqueous,Above_Range_5.34_ppm,MBD_001
N/A,BSLE_0011C-filt0.7,Liquid>aqueous,4.84,N/A
N/A,BSLE_0012A-filt0.7,Liquid>aqueous,1.97,MBD_002
N/A,BSLE_0012B-filt0.7,Liquid>aqueous,3.48,MBD_002
N/A,BSLE_0012C-filt0.7,Liquid>aqueous,2.42,MBD_002
N/A,BSLE_0013A-filt0.7,Liquid>aqueous,0.9,MBD_002
N/A,BSLE_0013B-filt0.7,Liquid>aqueous,1.6,MBD_002
N/A,BSLE_0013C-filt0.7,Liquid>aqueous,0.84,MBD_002
N/A,BSLE_0014A-filt0.7,Liquid>aqueous,4.89,N/A
N/A,BSLE_0014B-filt0.7,Liquid>aqueous,5.09,N/A
N/A,BSLE_0014C-filt0.7,Liquid>aqueous,4.98,N/A
N/A,BSLE_0050A-filt0.7,Liquid>aqueous,Above_Range_4.32_ppm,MBD_001; MBD_002
N/A,BSLE_0050B-filt0.7,Liquid>aqueous,2.07,N/A
N/A,BSLE_0050C-filt0.7,Liquid>aqueous,2.74,MBD_002
N/A,BSLE_0051A-filt0.7,Liquid>aqueous,3.05,N/A
N/A,BSLE_0051B-filt0.7,Liquid>aqueous,3.11,N/A
N/A,BSLE_0051C-filt0.7,Liquid>aqueous,4.27,N/A
N/A,BSLE_0052A-filt0.7,Liquid>aqueous,2.89,N/A
N/A,BSLE_0052B-filt0.7,Liquid>aqueous,4.27,N/A
N/A,BSLE_0052C-filt0.7,Liquid>aqueous,4.08,N/A
N/A,BSLE_0058A-filt0.7,Liquid>aqueous,2.66,MBD_002; VB_007; MBD_004
N/A,BSLE_0058B-filt0.7,Liquid>aqueous,0.47,N/A
N/A,BSLE_0058C-filt0.7,Liquid>aqueous,0.65,MBD_003
N/A,BSLE_0067A-filt0.7,Liquid>aqueous,2.76,MBD_002; MBD_004
N/A,BSLE_0067B-filt0.7,Liquid>aqueous,1.54,MBD_002
N/A,BSLE_0067C-filt0.7,Liquid>aqueous,1.8,MBD_002
N/A,BSLE_0068A-filt0.7,Liquid>aqueous,2.61,MBD_003
N/A,BSLE_0068B-filt0.7,Liquid>aqueous,1.35,N/A
N/A,BSLE_0068C-filt0.7,Liquid>aqueous,0.93,N/A
N/A,BSLE_0071A-filt0.7,Liquid>aqueous,1.86,MBD_002; MBD_004
N/A,BSLE_0071B-filt0.7,Liquid>aqueous,1.77,MBD_002; MBD_004
N/A,BSLE_0071C-filt0.7,Liquid>aqueous,-9999,N/A
N/A,BSLE_0072A-filt0.7,Liquid>aqueous,2.65,MBD_002
N/A,BSLE_0072B-filt0.7,Liquid>aqueous,4.75,MBD_002; MBD_004
N/A,BSLE_0072C-filt0.7,Liquid>aqueous,Below_Range_0.29_ppm,MBD_001; MBD_002
N/A,BSLE_0073A-filt0.7,Liquid>aqueous,Below_Range_2.25_ppm,MBD_001; MBD_002; MBD_003; MBD_004
N/A,BSLE_0073B-filt0.7,Liquid>aqueous,2.7,MBD_002; MBD_004
N/A,BSLE_0073C-filt0.7,Liquid>aqueous,Below_Range_0.93_ppm,MBD_001; MBD_002
#End_Data,,,,
