Column_or_Row_Name,Unit,Definition,Data_Type,Term_Type
00403_pH,pH,"pH data of unfiltered leachate samples. 5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header
00602_TN_mg_per_L_as_N,milligrams_per_liter,"Total dissolved nitrogen [nitrate + nitrite + ammonia + organic-N] data of filtered leachate samples. A sample name with ""-filt0.2"" appended indicates it was filtered through a 0.7 micrometer filter and then a 0.2 micrometer filter.  A sample name with ""-filt0.7"" appended indicates it was only filtered through a 0.7 micrometer filter.  5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header
00681_NPOC_mg_per_L_as_C,milligrams_per_liter,"Dissolved organic carbon (DOC) data measured as non-purgeable organic carbon (NPOC) and reported as carbon. A sample name with ""-filt0.2"" appended indicates it was filtered through a 0.7 micrometer filter and then a 0.2 micrometer filter.  A sample name with ""-filt0.7"" appended indicates it was only filtered through a 0.7 micrometer filter. 5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header
01462_Total_Al_mg_per_kg,milligrams_per_kilogram,"Total aluminum in solid char samples. 5-digit prefix refers to a US Geological Survey parameter code .Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header
01463_C_percent,percent,"Percent total carbon in solid char samples. 5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header
01464_Total_Fe_mg_per_kg,milligrams_per_kilogram,"Total iron in solid char samples. 5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header
01466_Total_S_mg_per_kg,milligrams_per_kilogram,"Total sulfur in solid char samples. 5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header
01472_N_percent,percent,"Percent total nitrogen in solid char samples. 5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header
13C-NMR,as_intensity,"Carbon-13 nuclear magnetic resonance (13-C NMR) in solid char samples. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header
300_degC_Grab_Time_PST,HH:MM:SS,Time at which a grab sample was taken from the burn table at approximately 300 degree celcius.,time,column_header
31P-NMR,as_intensity,"Phosphorus-31 nuclear magnetic resonance (31-P NMR) in solid char samples. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header
52718_Total_Ca_mg_per_kg,milligrams_per_kilogram,"Total calcium in solid char samples. 5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header
52719_Total_Mg_mg_per_kg,milligrams_per_kilogram,"Total magnesium in solid char samples. 5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header
52720_Total_K_mg_per_kg,milligrams_per_kilogram,"Total potassium in solid char samples. 5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header
52721_Total_Na_mg_per_kg,milligrams_per_kilogram,"Total sodium in solid char samples. 5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",,column_header
600_degC_Grab_Time_PST,HH:MM:SS,Time at which a grab sample was taken from the burn table at approximately 600 degrees celcius.,time,column_header
Absorbance_file_dat,N/A,Name of absorbance file.,text,column_header
Analysis_DetectionLimit,N/A,Analytical detection limit.,numeric,row_header
Analysis_Precision,N/A,Precision of the data values.,numeric,row_header
Approx_Char_After_Burn_Weight,grams,Approximate weight of solid char at the end of the burn. ,numeric,column_header
