"eV","Pi_Al_GibbSorb_std.xmu.nor","Pi_Apatite_CaDefHydroxy_std.xmu.nor","Pi_Fe_GoethSorb_std.xmu.nor","Pi_K_Pyro_std.xmu.nor","Pi_Mg_Tri_std.xmu.nor","Pi_Na_Tri_std.xmu.nor","Pi_NH4_Mg_std.xmu.nor","Po_Ca_Lecithin_std.xmu.nor"
2106,0.15008297,-9999,-9999,-9999,-9999,-9999,-9999,0.23895908
2108,0.13333872,-9999,-9999,-9999,-9999,-9999,-9999,0.28324201
2110,0.13386438,-9999,-9999,-9999,-9999,-9999,-9999,0.2382542
2112,0.12142443,-9999,-9999,-9999,-9999,-9999,-9999,0.21676613
2114,0.10849733,-9999,-9999,-9999,-9999,-9999,-9999,0.23391681
2116,0.095492072,-9999,-9999,-9999,-9999,-9999,-9999,0.572265
2118,0.088588816,-9999,-9999,-9999,-9999,-9999,-9999,0.13275886
2120,0.076279736,-9999,-9999,-9999,-9999,-9999,-9999,0.088049409
2122,0.067077095,-9999,-9999,-9999,-9999,-9999,-9999,0.072801726
2124,0.038674148,-9999,-9999,-9999,-9999,-9999,-9999,0.047824399
2126,0.026326896,-9999,-9999,-9999,-9999,-9999,-9999,0.036769645
2128,0.020736015,-9999,-9999,-9999,-9999,-9999,-9999,0.036613117
2130,0.014470769,-9999,-9999,-9999,-9999,-9999,-9999,0.01295066
2132,0.0059370409,-9999,-9999,-9999,-9999,-9999,-9999,0.024450636
2134,0.0046032007,-9999,-9999,-9999,-9999,-9999,-9999,0.037340047
2136,0.0033093498,-9999,-9999,-9999,-9999,-9999,-9999,0.0075983503
2138,0.0096170976,-9999,-9999,-9999,-9999,-9999,-9999,-0.0019069754
2140,0.0043497663,-9999,-9999,-9999,-9999,-9999,-9999,-0.015248104
2140.2,0.0016734276,-9999,-9999,-9999,-9999,-9999,-9999,-0.025642368
2140.4,-0.0038003431,-9999,-9999,-9999,-9999,-9999,-9999,-0.019758177
2140.6,0.003344322,-9999,-9999,-9999,-9999,-9999,-9999,-0.017955369
2140.8,-0.002603867,-9999,-9999,-9999,-9999,-9999,-9999,-0.029459191
2141,-0.0078122543,-9999,-9999,-9999,-9999,-9999,-9999,-0.015860967
2141.2,-0.0077765928,-9999,-9999,-9999,-9999,-9999,-9999,-0.022864657
2141.4,-0.00036472655,-9999,-9999,-9999,-9999,-9999,-9999,-0.02375319
2141.6,-0.0031773924,-9999,-9999,-9999,-9999,-9999,-9999,-0.03053516
2141.8,0.00013375483,-9999,-9999,-9999,-9999,-9999,-9999,-0.023940272
2142,-0.0024226161,-9999,-9999,-9999,-9999,-9999,-9999,-0.023843687
2142.2,-0.00374659,-9999,-9999,-9999,-9999,-9999,-9999,-0.027355177
2142.4,-0.0078352775,-9999,-9999,-9999,-9999,-9999,-9999,-0.023882644
2142.6,-0.0022647359,-9999,-9999,-9999,-9999,-9999,-9999,-0.019015835
2142.8,-0.00036411967,-9999,-9999,-9999,-9999,-9999,-9999,-0.018480022
2143,-0.0028568713,-9999,-9999,-9999,-9999,-9999,-9999,-0.016552265
2143.2,0.001543075,-9999,-9999,-9999,-9999,-9999,-9999,-0.013446274
2143.4,0.0026748064,-9999,-9999,-9999,-9999,-9999,-9999,-0.012460286
2143.6,0.0038883341,-9999,-9999,-9999,-9999,-9999,-9999,-0.0061991664
2143.8,0.00025407031,-9999,-9999,-9999,-9999,-9999,-9999,0.0013934476
2144,-0.0078753522,-9999,-9999,-9999,-9999,-9999,-9999,-0.0091300894
2144.2,-0.0024302315,-9999,-9999,-9999,-9999,-9999,-9999,0.0026983622
2144.4,0.0062194847,-9999,-9999,-9999,-9999,-9999,-9999,0.0076342814
2144.6,0.0047301005,-9999,-9999,-9999,-9999,-9999,-9999,0.0031150413
